datetime,user_id,order_amount,period,strata,group
2025-07-01 00:03:38,user_2227,1370.04,experiment,3%,test
2025-07-01 00:04:05,user_850,2666.91,experiment,3%,test
2025-07-01 00:06:39,user_4872,2621.1,experiment,7%,control
2025-07-01 00:07:49,user_2095,5806.27,experiment,7%,control
2025-07-01 00:08:45,user_718,1651.51,experiment,7%,control
2025-07-01 00:11:42,user_624,3208.61,experiment,7%,control
2025-07-01 00:14:08,user_355,5405.88,experiment,7%,test
2025-07-01 00:17:14,user_1906,4202.77,experiment,3%,control
2025-07-01 00:17:24,user_4204,2781.47,experiment,3%,control
2025-07-01 00:20:17,user_4955,3161.52,experiment,5%,control
2025-07-01 00:20:21,user_695,3038.53,experiment,3%,control
2025-07-01 00:22:07,user_1087,4469.61,experiment,7%,test
2025-07-01 00:23:28,user_1510,1657.54,experiment,0%,test
2025-07-01 00:26:01,user_4173,1288.04,experiment,7%,test
2025-07-01 00:28:56,user_424,1604.64,experiment,7%,test
2025-07-01 00:29:34,user_4698,2805.68,experiment,7%,control
2025-07-01 00:31:37,user_2382,2862.47,experiment,7%,test
2025-07-01 00:31:43,user_3082,4466.75,experiment,7%,control
2025-07-01 00:34:37,user_4319,1590.52,experiment,0%,test
2025-07-01 00:36:23,user_3289,1159.04,experiment,7%,test
2025-07-01 00:36:40,user_3632,5556.57,experiment,5%,control
2025-07-01 00:39:42,user_397,4636.33,experiment,7%,control
2025-07-01 00:39:51,user_2213,2820.32,experiment,0%,test
2025-07-01 00:48:23,user_2800,830.68,experiment,7%,test
2025-07-01 00:49:02,user_2671,2261.82,experiment,0%,control
2025-07-01 00:49:43,user_1995,962.85,experiment,7%,control
2025-07-01 00:51:40,user_5259,2917.51,experiment,3%,test
2025-07-01 00:54:09,user_4018,3873.77,experiment,3%,control
2025-07-01 00:54:24,user_3342,3331.08,experiment,0%,test
2025-07-01 00:55:15,user_1744,2192.65,experiment,7%,control
2025-07-01 00:56:02,user_193,3352.41,experiment,7%,control
2025-07-01 00:56:48,user_5828,1554.28,experiment,0%,control
2025-07-01 01:03:10,user_5999,4210.32,experiment,7%,test
2025-07-01 01:05:19,user_592,873.16,experiment,0%,control
2025-07-01 01:07:27,user_3310,6206.78,experiment,7%,test
2025-07-01 01:07:43,user_2097,2860.57,experiment,5%,control
2025-07-01 01:08:55,user_2567,3462.62,experiment,7%,test
2025-07-01 01:08:59,user_5231,1640.81,experiment,7%,control
2025-07-01 01:09:20,user_1435,3278.64,experiment,7%,test
2025-07-01 01:11:06,user_4339,1907.78,experiment,7%,control
2025-07-01 01:13:02,user_3883,3562.69,experiment,7%,control
2025-07-01 01:16:32,user_5331,7403.51,experiment,7%,control
2025-07-01 01:22:11,user_570,2870.45,experiment,3%,control
2025-07-01 01:22:51,user_3654,2253.28,experiment,0%,control
2025-07-01 01:25:25,user_3980,1724.35,experiment,3%,test
2025-07-01 01:26:23,user_114,1735.81,experiment,7%,control
2025-07-01 01:29:19,user_1447,3112.21,experiment,5%,control
2025-07-01 01:29:36,user_1440,3067.51,experiment,7%,test
2025-07-01 01:30:01,user_3577,3864.01,experiment,5%,control
2025-07-01 01:30:42,user_3225,1273.92,experiment,7%,test
2025-07-01 01:32:23,user_561,2226.95,experiment,3%,control
2025-07-01 01:33:53,user_5488,5193.17,experiment,7%,control
2025-07-01 01:34:03,user_570,2844.33,experiment,3%,control
2025-07-01 01:34:25,user_5664,1608.13,experiment,7%,control
2025-07-01 01:37:03,user_1663,4435.91,experiment,7%,test
2025-07-01 01:37:15,user_537,2569.34,experiment,5%,test
2025-07-01 01:38:03,user_2881,3665.93,experiment,7%,test
2025-07-01 01:40:04,user_3005,3546.09,experiment,5%,test
2025-07-01 01:40:10,user_4899,1093.2,experiment,7%,test
2025-07-01 01:40:17,user_5773,2855.49,experiment,5%,test
2025-07-01 01:45:00,user_3257,5470.56,experiment,5%,control
2025-07-01 01:45:14,user_1110,2048.84,experiment,5%,control
2025-07-01 01:45:27,user_209,1122.09,experiment,5%,control
2025-07-01 01:53:32,user_2129,1279.3,experiment,7%,test
2025-07-01 01:53:38,user_2234,1469.53,experiment,7%,test
2025-07-01 01:56:44,user_4182,3212.4,experiment,3%,control
2025-07-01 01:57:19,user_953,15122.56,experiment,0%,test
2025-07-01 01:57:27,user_5587,1307.79,experiment,7%,control
2025-07-01 01:59:44,user_2478,4221.6,experiment,7%,test
2025-07-01 02:02:13,user_3851,3393.99,experiment,5%,test
2025-07-01 02:02:59,user_1538,1633.77,experiment,3%,control
2025-07-01 02:03:29,user_1631,1505.77,experiment,5%,control
2025-07-01 02:07:29,user_438,1825.8,experiment,3%,control
2025-07-01 02:11:17,user_377,7524.05,experiment,7%,control
2025-07-01 02:17:49,user_5375,696.59,experiment,5%,control
2025-07-01 02:21:16,user_3494,1557.06,experiment,7%,control
2025-07-01 02:21:37,user_4016,4089.36,experiment,5%,test
2025-07-01 02:24:33,user_258,3155.17,experiment,7%,control
2025-07-01 02:28:48,user_24,1965.72,experiment,7%,control
2025-07-01 02:29:13,user_3276,3241.38,experiment,0%,test
2025-07-01 02:29:36,user_5985,5935.89,experiment,3%,test
2025-07-01 02:29:42,user_416,7886.17,experiment,7%,test
2025-07-01 02:31:59,user_1903,1091.46,experiment,5%,test
2025-07-01 02:34:11,user_2449,3616.38,experiment,7%,test
2025-07-01 02:35:36,user_1567,2054.36,experiment,5%,control
2025-07-01 02:35:44,user_3626,2551.69,experiment,3%,control
2025-07-01 02:36:02,user_1260,4223.26,experiment,3%,test
2025-07-01 02:36:10,user_945,2207.29,experiment,7%,test
2025-07-01 02:36:20,user_4138,1986.6,experiment,7%,test
2025-07-01 02:39:17,user_2812,2336.9,experiment,7%,test
2025-07-01 02:42:52,user_5131,1490.97,experiment,7%,control
2025-07-01 02:45:33,user_925,2935.67,experiment,7%,test
2025-07-01 02:45:51,user_1026,2192.43,experiment,7%,control
